subject,body,sender,label
HMRC: Tax refund notification,"Dear Taxpayer,

Following our annual calculation you are due a tax refund of £847.20.

To receive your refund: http://hmrc-tax-refund.tk/claim

You must provide bank account details and National Insurance number.

HM Revenue & Customs",noreply@hmrc-online-refund.co.uk.phish.net,1
Your USPS account has been suspended,"Dear Customer,

We have detected a problem with your USPS account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://usps-verify-now.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

USPS Security Team",security@usps-verify-now.xyz,1
URGENT: Verify your Microsoft account,"Dear Customer,

We have detected a problem with your Microsoft account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://microsoft-account-alert.tk/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Microsoft Security Team",security@microsoft-account-alert.tk,1
Your Figma prototype is ready,"Hi,

The prototype for 'Mobile App Redesign' has been shared with you.

View prototype: https://www.figma.com/proto/abc123

Figma",no_reply@figma.com,0
Security alert: Unusual activity on your Netflix account,"Dear Customer,

We have detected a problem with your Netflix account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://netflix-urgent-action.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Netflix Security Team",security@netflix-urgent-action.xyz,1
Your Amazon password needs to be updated immediately,"Dear Customer,

We have detected a problem with your Amazon account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://amazon-verify-now.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Amazon Security Team",security@amazon-verify-now.xyz,1
Congratulations! You won a Chase gift card,"Dear Customer,

We have detected a problem with your Chase account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://chase-secure-update.ml/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Chase Security Team",security@chase-secure-update.ml,1
Payment received: $1058.1,"You received $1058.1 from Alice Jones.

Dashboard: https://dashboard.stripe.com",no-reply@stripe.com,0
AWS Budget alert: 66% used,"Your AWS budget ""Monthly Budget"" has reached 66%.

View: https://console.aws.amazon.com/billing/",no-reply@sns.amazonaws.com,0
Your build passed on branch hotfix/bug-123,"Build #1871 on hotfix/bug-123 passed all checks.

View: https://github.com/org/repo/actions/runs/1871",noreply@github.com,0
URGENT: Verify your Apple account,"Dear Customer,

We have detected a problem with your Apple account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://apple-account-alert.tk/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Apple Security Team",security@apple-account-alert.tk,1
AWS Budget alert: 84% used,"Your AWS budget ""Monthly Budget"" has reached 84%.

View: https://console.aws.amazon.com/billing/",no-reply@sns.amazonaws.com,0
